angles	'0'	'-30'	'-60'	'-90'	'-120'	
aACL	0.0307949	0.0323555	0.0394947	0.0485455	0.0567792
pACL	0.0231296	0.0255685	0.0349497	0.0457484	0.0550866
aPCL	0.0293953	0.0436988	0.0583797	0.0701019	0.0776162
pPCL	0.0296878	0.0418695	0.0552617	0.0663325	0.073694
aMCL	0.056727	0.0675407	0.0807485	0.0922669	0.100032
mMCL	0.0607935	0.0694354	0.0814462	0.0927651	0.101037
pMCL	0.0632728	0.0703807	0.0817008	0.0931535	0.102101
aLCL	0.0569772	0.064111	0.0728799	0.0805653	0.0856278
mLCL	0.0563186	0.0614321	0.0691464	0.0768293	0.0826919
pLCL	0.0523427	0.0550317	0.0617562	0.0698875	0.0771555
