knee_angle, aPCL
15.008,	24.222
17.048,	26.245
19.089,	38.123
21.644,	117.416
24.056,	210.413
26.283,	293.825
28.025,	354.904
29.466,	407.442
31.388,	471.645
33.149,	535.858
34.431,	588.406
35.930,	652.264
38.138,	732.177
40.661,	811.278
43.351,	887.772
46.041,	958.814
48.917,	1026.295
51.699,	1080.030
54.668,	1134.459
57.729,	1189.367
60.534,	1224.137
63.256,	1253.200
65.178,	1270.619
67.283,	1285.227
70.610,	1303.218
74.024,	1318.804
77.302,	1326.495
80.734,	1327.240
83.888,	1329.454
87.413,	1332.613
89.359,	1333.375
